index,time_sec,joint_1_rad,joint_1_deg,joint_1_pwm_us,joint_2_rad,joint_2_deg,joint_2_pwm_us,joint_3_rad,joint_3_deg,joint_3_pwm_us,joint_4_rad,joint_4_deg,joint_4_pwm_us
51,5.081989224,0.9166018101822893,52.517415217496584,2083,0.5,28.64788975654116,1593,0.49999999999999983,28.64788975654115,2132,0.0,0.0,500
52,5.1819892240000005,0.9742658967459054,55.821324007068824,2120,0.5,28.64788975654116,1593,0.49999999999999983,28.64788975654115,2132,0.0,0.0,500
53,5.281989224,1.0289299833095182,58.95334545810163,2155,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
54,5.381989224,1.0805940698731284,61.913479570595044,2188,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
55,5.481989223999999,1.129258156436738,64.70172634454917,2219,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
56,5.581989224,1.1749222430003472,67.31808577996402,2248,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
57,5.6819892240000005,1.2175863295639564,69.76255787683964,2275,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
58,5.781989224,1.2572504161275648,72.03514263517596,2300,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
59,5.881989224,1.293914502691173,74.135840054973,2324,0.5,28.64788975654116,1593,0.49999999999999983,28.64788975654115,2132,0.0,0.0,500
60,5.981989223999999,1.327578589254781,76.06465013623081,2345,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
61,6.081989224,1.358242675818389,77.82157287894937,2365,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
62,6.1819892240000005,1.3859067623819976,79.4066082831287,2382,0.5,28.64788975654116,1593,0.4999999999999997,28.647889756541147,2132,0.0,0.0,500
63,6.281989224,1.4105708489456064,80.8197563487688,2398,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
64,6.381989224,1.4322349355092154,82.06101707586969,2412,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
65,6.481989223999999,1.4508990220728246,83.13039046443131,2424,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
66,6.581989224,1.4665631086364328,84.02787651445365,2434,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
67,6.681989224,1.4792271952000418,84.75347522593678,2442,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
68,6.781989224,1.4888912817636504,85.30718659888063,2448,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
69,6.881989224,1.4955553683272593,85.68901063328528,2452,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
70,6.981989224,1.499219454890868,85.89894732915064,2454,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
71,7.054125442,1.4999999999999998,85.94366926962347,2455,0.5,28.64788975654116,1593,0.4999999999999998,28.647889756541147,2132,0.0,0.0,500
